Food code;Main food description;Subcode;Subcode description;WWEIA Category number;WWEIA Category description;Seq num;Portion description;Portion weight (g)
11112210;Milk, low fat (1%);;;1006;Milk, lowfat;4;Guideline amount per fl oz of beverage;2,5
11112210;Milk, low fat (1%);;;1006;Milk, lowfat;5;Guideline amount per cup of hot cereal;61
11112210;Milk, low fat (1%);;;1006;Milk, lowfat;6;Quantity not specified;244
11113000;Milk, fat free (skim);;;1008;Milk, nonfat;1;1 cup;244
11113000;Milk, fat free (skim);;;1008;Milk, nonfat;2;1 fl oz;30,5
11113000;Milk, fat free (skim);;;1008;Milk, nonfat;3;1 individual school container;244
11113000;Milk, fat free (skim);;;1008;Milk, nonfat;4;Guideline amount per fl oz of beverage;2,5
11113000;Milk, fat free (skim);;;1008;Milk, nonfat;5;Guideline amount per cup of hot cereal;61
11113000;Milk, fat free (skim);;;1008;Milk, nonfat;6;Quantity not specified;244
11114300;Milk, lactose free, low fat (1%);;;1006;Milk, lowfat;1;1 cup;244
11114300;Milk, lactose free, low fat (1%);;;1006;Milk, lowfat;2;1 fl oz;30,5
11114300;Milk, lactose free, low fat (1%);;;1006;Milk, lowfat;3;Guideline amount per fl oz of beverage;2,5
11114300;Milk, lactose free, low fat (1%);;;1006;Milk, lowfat;4;Guideline amount per cup of hot cereal;61
11114300;Milk, lactose free, low fat (1%);;;1006;Milk, lowfat;5;Quantity not specified;244
11114320;Milk, lactose free, fat free (skim);;;1008;Milk, nonfat;1;1 cup;244
11114320;Milk, lactose free, fat free (skim);;;1008;Milk, nonfat;2;1 fl oz;30,5
11114320;Milk, lactose free, fat free (skim);;;1008;Milk, nonfat;3;Guideline amount per fl oz of beverage;2,5
11114320;Milk, lactose free, fat free (skim);;;1008;Milk, nonfat;4;Guideline amount per cup of hot cereal;61
11114320;Milk, lactose free, fat free (skim);;;1008;Milk, nonfat;5;Quantity not specified;244
11114330;Milk, lactose free, reduced fat (2%);;;1004;Milk, reduced fat;1;1 cup;244
11114330;Milk, lactose free, reduced fat (2%);;;1004;Milk, reduced fat;2;1 fl oz;30,5
11114330;Milk, lactose free, reduced fat (2%);;;1004;Milk, reduced fat;3;Guideline amount per fl oz of beverage;2,5
11114330;Milk, lactose free, reduced fat (2%);;;1004;Milk, reduced fat;4;Guideline amount per cup of hot cereal;61
11114330;Milk, lactose free, reduced fat (2%);;;1004;Milk, reduced fat;5;Quantity not specified;244
11114350;Milk, lactose free, whole;;;1002;Milk, whole;1;1 cup;244
11114350;Milk, lactose free, whole;;;1002;Milk, whole;2;1 fl oz;30,5
11114350;Milk, lactose free, whole;;;1002;Milk, whole;3;Guideline amount per fl oz of beverage;2,5
11114350;Milk, lactose free, whole;;;1002;Milk, whole;4;Guideline amount per cup of hot cereal;61
11114350;Milk, lactose free, whole;;;1002;Milk, whole;5;Quantity not specified;244
11115000;Buttermilk, fat free (skim);;;1008;Milk, nonfat;1;1 cup;244
11115000;Buttermilk, fat free (skim);;;1008;Milk, nonfat;2;1 fl oz;30,5
11115000;Buttermilk, fat free (skim);;;1008;Milk, nonfat;3;Guideline amount per fl oz of beverage;2,6
11115000;Buttermilk, fat free (skim);;;1008;Milk, nonfat;4;Guideline amount per cup of hot cereal;61
11115000;Buttermilk, fat free (skim);;;1008;Milk, nonfat;5;Quantity not specified;244
11115100;Buttermilk, low fat (1%);;;1006;Milk, lowfat;1;1 cup;244
11115100;Buttermilk, low fat (1%);;;1006;Milk, lowfat;2;1 fl oz;30,5
11115100;Buttermilk, low fat (1%);;;1006;Milk, lowfat;3;Guideline amount per fl oz of beverage;2,6
11115100;Buttermilk, low fat (1%);;;1006;Milk, lowfat;4;Guideline amount per cup of hot cereal;61
11115100;Buttermilk, low fat (1%);;;1006;Milk, lowfat;5;Quantity not specified;244
11115200;Buttermilk, reduced fat (2%);;;1004;Milk, reduced fat;1;1 cup;244
11115200;Buttermilk, reduced fat (2%);;;1004;Milk, reduced fat;2;1 fl oz;30,5
11115200;Buttermilk, reduced fat (2%);;;1004;Milk, reduced fat;3;Guideline amount per fl oz of beverage;2,6
11115200;Buttermilk, reduced fat (2%);;;1004;Milk, reduced fat;4;Guideline amount per cup of hot cereal;61
11115200;Buttermilk, reduced fat (2%);;;1004;Milk, reduced fat;5;Quantity not specified;244
11115300;Buttermilk, whole;;;1002;Milk, whole;1;1 cup;244
11115300;Buttermilk, whole;;;1002;Milk, whole;2;1 fl oz;30,5
11115300;Buttermilk, whole;;;1002;Milk, whole;3;Guideline amount per fl oz of beverage;2,6
11115300;Buttermilk, whole;;;1002;Milk, whole;4;Guideline amount per cup of hot cereal;61
11115300;Buttermilk, whole;;;1002;Milk, whole;5;Quantity not specified;244
11115400;Kefir, NS as to fat content;;;1006;Milk, lowfat;1;1 cup;244
11115400;Kefir, NS as to fat content;;;1006;Milk, lowfat;2;1 fl oz;30,5
11115400;Kefir, NS as to fat content;;;1006;Milk, lowfat;3;Quantity not specified;244
11116000;Goat's milk, whole;;;1002;Milk, whole;1;1 cup;244
11116000;Goat's milk, whole;;;1002;Milk, whole;2;1 fl oz;30,5
11116000;Goat's milk, whole;;;1002;Milk, whole;3;Guideline amount per fl oz of beverage;2,5
11116000;Goat's milk, whole;;;1002;Milk, whole;4;Guideline amount per cup of hot cereal;61
11116000;Goat's milk, whole;;;1002;Milk, whole;5;Quantity not specified;244
11120000;Milk, dry, reconstituted, NS as to fat content;;;1008;Milk, nonfat;1;1 cup;244
11120000;Milk, dry, reconstituted, NS as to fat content;;;1008;Milk, nonfat;2;1 fl oz;30,5
11120000;Milk, dry, reconstituted, NS as to fat content;;;1008;Milk, nonfat;3;Guideline amount per fl oz of beverage;2,5
11120000;Milk, dry, reconstituted, NS as to fat content;;;1008;Milk, nonfat;4;Guideline amount per cup of hot cereal;61
11120000;Milk, dry, reconstituted, NS as to fat content;;;1008;Milk, nonfat;5;Quantity not specified;244
11121100;Milk, dry, reconstituted, whole;;;1002;Milk, whole;1;1 cup;244
11121100;Milk, dry, reconstituted, whole;;;1002;Milk, whole;2;1 fl oz;30,5
11121100;Milk, dry, reconstituted, whole;;;1002;Milk, whole;3;Guideline amount per fl oz of beverage;2,5
11121100;Milk, dry, reconstituted, whole;;;1002;Milk, whole;4;Guideline amount per cup of hot cereal;61
11121100;Milk, dry, reconstituted, whole;;;1002;Milk, whole;5;Quantity not specified;244
11121210;Milk, dry, reconstituted, low fat (1%);;;1006;Milk, lowfat;1;1 cup;244
11121210;Milk, dry, reconstituted, low fat (1%);;;1006;Milk, lowfat;2;1 fl oz;30,5
11121210;Milk, dry, reconstituted, low fat (1%);;;1006;Milk, lowfat;3;Guideline amount per fl oz of beverage;2,5
11121210;Milk, dry, reconstituted, low fat (1%);;;1006;Milk, lowfat;4;Guideline amount per cup of hot cereal;61
11121210;Milk, dry, reconstituted, low fat (1%);;;1006;Milk, lowfat;5;Quantity not specified;244
11121300;Milk, dry, reconstituted, fat free (skim);;;1008;Milk, nonfat;1;1 cup;244
11121300;Milk, dry, reconstituted, fat free (skim);;;1008;Milk, nonfat;2;1 fl oz;30,5
11121300;Milk, dry, reconstituted, fat free (skim);;;1008;Milk, nonfat;3;Guideline amount per fl oz of beverage;2,5
11121300;Milk, dry, reconstituted, fat free (skim);;;1008;Milk, nonfat;4;Guideline amount per cup of hot cereal;61
11121300;Milk, dry, reconstituted, fat free (skim);;;1008;Milk, nonfat;5;Quantity not specified;244
11210050;Milk, evaporated, NS as to fat content;;;1002;Milk, whole;1;1 cup;252
11210050;Milk, evaporated, NS as to fat content;;;1002;Milk, whole;2;1 fl oz;31,5
11210050;Milk, evaporated, NS as to fat content;;;1002;Milk, whole;3;Quantity not specified;16
11210050;Milk, evaporated, NS as to fat content;;;1002;Milk, whole;4;Guideline amount per fl oz of beverage;2,6
11210050;Milk, evaporated, NS as to fat content;;;1002;Milk, whole;5;Quantity not specified, as a drink or on cereal;126
11210050;Milk, evaporated, NS as to fat content;;;1002;Milk, whole;6;Quantity not specified, if in beverage;16
11211050;Milk, evaporated, whole;;;1002;Milk, whole;1;1 cup;252
11211050;Milk, evaporated, whole;;;1002;Milk, whole;2;1 fl oz;31,5
11211050;Milk, evaporated, whole;;;1002;Milk, whole;3;Quantity not specified;16
11211050;Milk, evaporated, whole;;;1002;Milk, whole;4;Guideline amount per fl oz of beverage;2,6
11211050;Milk, evaporated, whole;;;1002;Milk, whole;5;Quantity not specified, as a drink or on cereal;126
11211050;Milk, evaporated, whole;;;1002;Milk, whole;6;Quantity not specified, if in beverage;16
11211400;Milk, evaporated, reduced fat (2%);;;1004;Milk, reduced fat;1;1 cup;252
11211400;Milk, evaporated, reduced fat (2%);;;1004;Milk, reduced fat;2;1 fl oz;31,5
11211400;Milk, evaporated, reduced fat (2%);;;1004;Milk, reduced fat;6;Quantity not specified, if in beverage;16
11211400;Milk, evaporated, reduced fat (2%);;;1004;Milk, reduced fat;7;Quantity not specified, as a drink or on cereal;126
11211400;Milk, evaporated, reduced fat (2%);;;1004;Milk, reduced fat;8;Quantity not specified;16
11212050;Milk, evaporated, fat free (skim);;;1008;Milk, nonfat;1;1 cup;252
11212050;Milk, evaporated, fat free (skim);;;1008;Milk, nonfat;2;1 fl oz;31,5
11212050;Milk, evaporated, fat free (skim);;;1008;Milk, nonfat;3;Quantity not specified;16
11212050;Milk, evaporated, fat free (skim);;;1008;Milk, nonfat;4;Guideline amount per fl oz of beverage;2,6
11212050;Milk, evaporated, fat free (skim);;;1008;Milk, nonfat;5;Quantity not specified, as a drink or on cereal;126
11212050;Milk, evaporated, fat free (skim);;;1008;Milk, nonfat;6;Quantity not specified, if in beverage;16
11220000;Milk, condensed, sweetened;;;1202;Flavored milk, whole;1;1 cup;304
11220000;Milk, condensed, sweetened;;;1202;Flavored milk, whole;2;1 fl oz;38
11220000;Milk, condensed, sweetened;;;1202;Flavored milk, whole;3;Quantity not specified;19
11300100;Non-dairy milk, NFS;;;1404;Milk substitutes;1;1 cup;244
11300100;Non-dairy milk, NFS;;;1404;Milk substitutes;2;1 fl oz;30,5
11300100;Non-dairy milk, NFS;;;1404;Milk substitutes;3;Guideline amount per fl oz of beverage;2,5
11300100;Non-dairy milk, NFS;;;1404;Milk substitutes;4;Guideline amount per cup of hot cereal;61
11300100;Non-dairy milk, NFS;;;1404;Milk substitutes;5;Quantity not specified;244
11320000;Soy milk;;;1404;Milk substitutes;1;1 cup;244
11320000;Soy milk;;;1404;Milk substitutes;2;1 fl oz;30,5
11320000;Soy milk;;;1404;Milk substitutes;3;Guideline amount per fl oz of beverage;2,5
11320000;Soy milk;;;1404;Milk substitutes;4;Guideline amount per cup of hot cereal;61
11320000;Soy milk;;;1404;Milk substitutes;5;Quantity not specified;244
11320100;Soy milk, light;;;1404;Milk substitutes;1;1 cup;244
11320100;Soy milk, light;;;1404;Milk substitutes;2;1 fl oz;30,5
11320100;Soy milk, light;;;1404;Milk substitutes;3;Quantity not specified;244
11320200;Soy milk, nonfat;;;1404;Milk substitutes;1;1 cup;244
11320200;Soy milk, nonfat;;;1404;Milk substitutes;2;1 fl oz;30,5
11320200;Soy milk, nonfat;;;1404;Milk substitutes;3;Quantity not specified;244
11321000;Soy milk, chocolate;;;1404;Milk substitutes;1;1 cup;244
11321000;Soy milk, chocolate;;;1404;Milk substitutes;2;1 fl oz;30,5
11321000;Soy milk, chocolate;;;1404;Milk substitutes;3;Quantity not specified;244
11321100;Soy milk, light, chocolate;;;1404;Milk substitutes;1;1 cup;244
11321100;Soy milk, light, chocolate;;;1404;Milk substitutes;2;1 fl oz;30,5
11321100;Soy milk, light, chocolate;;;1404;Milk substitutes;3;Quantity not specified;244
11321200;Soy milk, nonfat, chocolate;;;1404;Milk substitutes;1;1 cup;244
11321200;Soy milk, nonfat, chocolate;;;1404;Milk substitutes;2;1 fl oz;30,5
11321200;Soy milk, nonfat, chocolate;;;1404;Milk substitutes;3;Quantity not specified;244
11350000;Almond milk, sweetened;;;1404;Milk substitutes;1;1 cup;244
11350000;Almond milk, sweetened;;;1404;Milk substitutes;2;1 fl oz;30,5
11350000;Almond milk, sweetened;;;1404;Milk substitutes;3;Guideline amount per fl oz of beverage;2,5
11350000;Almond milk, sweetened;;;1404;Milk substitutes;4;Guideline amount per cup of hot cereal;61
11350000;Almond milk, sweetened;;;1404;Milk substitutes;5;Quantity not specified;244
11350010;Almond milk, sweetened, chocolate;;;1404;Milk substitutes;1;1 cup;244
11350010;Almond milk, sweetened, chocolate;;;1404;Milk substitutes;2;1 fl oz;30,5
11350010;Almond milk, sweetened, chocolate;;;1404;Milk substitutes;3;Guideline amount per fl oz of beverage;2,5
11350010;Almond milk, sweetened, chocolate;;;1404;Milk substitutes;4;Guideline amount per cup of hot cereal;61
11350010;Almond milk, sweetened, chocolate;;;1404;Milk substitutes;5;Quantity not specified;244
11350020;Almond milk, unsweetened;;;1404;Milk substitutes;1;1 cup;244
11350020;Almond milk, unsweetened;;;1404;Milk substitutes;2;1 fl oz;30,5
11350020;Almond milk, unsweetened;;;1404;Milk substitutes;3;Guideline amount per fl oz of beverage;2,5
11350020;Almond milk, unsweetened;;;1404;Milk substitutes;4;Guideline amount per cup of hot cereal;61
11350020;Almond milk, unsweetened;;;1404;Milk substitutes;5;Quantity not specified;244
11350030;Almond milk, unsweetened, chocolate;;;1404;Milk substitutes;1;1 cup;244
11350030;Almond milk, unsweetened, chocolate;;;1404;Milk substitutes;2;1 fl oz;30,5
11350030;Almond milk, unsweetened, chocolate;;;1404;Milk substitutes;3;Guideline amount per fl oz of beverage;2,5
11350030;Almond milk, unsweetened, chocolate;;;1404;Milk substitutes;4;Guideline amount per cup of hot cereal;61
11350030;Almond milk, unsweetened, chocolate;;;1404;Milk substitutes;5;Quantity not specified;244
11360000;Rice milk;;;1404;Milk substitutes;1;1 cup;244
11360000;Rice milk;;;1404;Milk substitutes;2;1 fl oz;30,5
11360000;Rice milk;;;1404;Milk substitutes;3;Guideline amount per fl oz of beverage;2,5
11360000;Rice milk;;;1404;Milk substitutes;4;Guideline amount per cup of hot cereal;61
11360000;Rice milk;;;1404;Milk substitutes;5;Quantity not specified;244
11370000;Coconut milk;;;1404;Milk substitutes;1;1 cup;244
11370000;Coconut milk;;;1404;Milk substitutes;2;1 fl oz;30,5
11370000;Coconut milk;;;1404;Milk substitutes;3;Guideline amount per fl oz of beverage;2,5
11370000;Coconut milk;;;1404;Milk substitutes;4;Guideline amount per cup of hot cereal;61
11370000;Coconut milk;;;1404;Milk substitutes;5;Quantity not specified;244
11400000;Yogurt, NFS;;;1820;Yogurt, regular;1;1 4 oz container;113
11400000;Yogurt, NFS;;;1820;Yogurt, regular;2;1 6 oz container;170
11400000;Yogurt, NFS;;;1820;Yogurt, regular;3;1 container, NFS;170
11400000;Yogurt, NFS;;;1820;Yogurt, regular;4;1 cup;245
11400000;Yogurt, NFS;;;1820;Yogurt, regular;5;Quantity not specified;170
11400010;Yogurt, Greek, NS as to type of milk or flavor;;;1822;Yogurt, Greek;1;1 5.3 oz container;150
11400010;Yogurt, Greek, NS as to type of milk or flavor;;;1822;Yogurt, Greek;2;1 6 oz container;170
11400010;Yogurt, Greek, NS as to type of milk or flavor;;;1822;Yogurt, Greek;3;1 container, NFS;150
11400010;Yogurt, Greek, NS as to type of milk or flavor;;;1822;Yogurt, Greek;4;1 cup;245
11400010;Yogurt, Greek, NS as to type of milk or flavor;;;1822;Yogurt, Greek;5;Quantity not specified;150
11410000;Yogurt, NS as to type of milk or flavor;;;1820;Yogurt, regular;1;1 4 oz container;113
11410000;Yogurt, NS as to type of milk or flavor;;;1820;Yogurt, regular;2;1 6 oz container;170
11410000;Yogurt, NS as to type of milk or flavor;;;1820;Yogurt, regular;3;1 container, NFS;170
11410000;Yogurt, NS as to type of milk or flavor;;;1820;Yogurt, regular;4;1 cup;245
11410000;Yogurt, NS as to type of milk or flavor;;;1820;Yogurt, regular;9;Quantity not specified;170
11411010;Yogurt, NS as to type of milk, plain;;;1820;Yogurt, regular;1;1 4 oz container;113
11411010;Yogurt, NS as to type of milk, plain;;;1820;Yogurt, regular;2;1 6 oz container;170
11411010;Yogurt, NS as to type of milk, plain;;;1820;Yogurt, regular;3;1 container, NFS;170
11411010;Yogurt, NS as to type of milk, plain;;;1820;Yogurt, regular;4;1 cup;245
11411010;Yogurt, NS as to type of milk, plain;;;1820;Yogurt, regular;7;Quantity not specified;170
11411100;Yogurt, whole milk, plain;;;1820;Yogurt, regular;1;1 4 oz container;113
11411100;Yogurt, whole milk, plain;;;1820;Yogurt, regular;2;1 6 oz container;170
11411100;Yogurt, whole milk, plain;;;1820;Yogurt, regular;3;1 container, NFS;170
11411100;Yogurt, whole milk, plain;;;1820;Yogurt, regular;4;1 cup;245
11411100;Yogurt, whole milk, plain;;;1820;Yogurt, regular;7;Quantity not specified;170
11411200;Yogurt, low fat milk, plain;;;1820;Yogurt, regular;1;1 4 oz container;113
11411200;Yogurt, low fat milk, plain;;;1820;Yogurt, regular;2;1 6 oz container;170
11411200;Yogurt, low fat milk, plain;;;1820;Yogurt, regular;3;1 container, NFS;170
11411200;Yogurt, low fat milk, plain;;;1820;Yogurt, regular;4;1 cup;245
11411200;Yogurt, low fat milk, plain;;;1820;Yogurt, regular;7;Quantity not specified;170
11411300;Yogurt, nonfat milk, plain;;;1820;Yogurt, regular;1;1 4 oz container;113
11411300;Yogurt, nonfat milk, plain;;;1820;Yogurt, regular;2;1 6 oz container;170
11411300;Yogurt, nonfat milk, plain;;;1820;Yogurt, regular;3;1 container, NFS;170
11411300;Yogurt, nonfat milk, plain;;;1820;Yogurt, regular;4;1 cup;245
11411300;Yogurt, nonfat milk, plain;;;1820;Yogurt, regular;7;Quantity not specified;170
11411390;Yogurt, Greek, NS as to type of milk, plain;;;1822;Yogurt, Greek;1;1 5.3 oz container;150
11411390;Yogurt, Greek, NS as to type of milk, plain;;;1822;Yogurt, Greek;2;1 6 oz container;170
11411390;Yogurt, Greek, NS as to type of milk, plain;;;1822;Yogurt, Greek;3;1 container, NFS;150
11411390;Yogurt, Greek, NS as to type of milk, plain;;;1822;Yogurt, Greek;4;1 cup;245
11411390;Yogurt, Greek, NS as to type of milk, plain;;;1822;Yogurt, Greek;5;Quantity not specified;150
11411400;Yogurt, Greek, whole milk, plain;;;1822;Yogurt, Greek;1;1 5.3 oz container;150
11411400;Yogurt, Greek, whole milk, plain;;;1822;Yogurt, Greek;2;1 6 oz container;170
11411400;Yogurt, Greek, whole milk, plain;;;1822;Yogurt, Greek;3;1 container, NFS;150
11411400;Yogurt, Greek, whole milk, plain;;;1822;Yogurt, Greek;4;1 cup;245
11411400;Yogurt, Greek, whole milk, plain;;;1822;Yogurt, Greek;6;Quantity not specified;150
11411410;Yogurt, Greek, low fat milk, plain;;;1822;Yogurt, Greek;1;1 5.3 oz container;150
11411410;Yogurt, Greek, low fat milk, plain;;;1822;Yogurt, Greek;2;1 6 oz container;170
11411410;Yogurt, Greek, low fat milk, plain;;;1822;Yogurt, Greek;3;1 container, NFS;150
11411410;Yogurt, Greek, low fat milk, plain;;;1822;Yogurt, Greek;4;1 cup;245
11411410;Yogurt, Greek, low fat milk, plain;;;1822;Yogurt, Greek;6;Quantity not specified;150
11411420;Yogurt, Greek, nonfat milk, plain;;;1822;Yogurt, Greek;1;1 5.3 oz container;150
11411420;Yogurt, Greek, nonfat milk, plain;;;1822;Yogurt, Greek;2;1 6 oz container;170
11411420;Yogurt, Greek, nonfat milk, plain;;;1822;Yogurt, Greek;3;1 container, NFS;150
11411420;Yogurt, Greek, nonfat milk, plain;;;1822;Yogurt, Greek;4;1 cup;245
11411420;Yogurt, Greek, nonfat milk, plain;;;1822;Yogurt, Greek;6;Quantity not specified;150
11430000;Yogurt, NS as to type of milk, fruit;;;1820;Yogurt, regular;1;1 4 oz container;113
11430000;Yogurt, NS as to type of milk, fruit;;;1820;Yogurt, regular;2;1 6 oz container;170
11430000;Yogurt, NS as to type of milk, fruit;;;1820;Yogurt, regular;3;1 container, NFS;170
11430000;Yogurt, NS as to type of milk, fruit;;;1820;Yogurt, regular;4;1 cup;245
11430000;Yogurt, NS as to type of milk, fruit;;;1820;Yogurt, regular;10;Quantity not specified;170
11431000;Yogurt, whole milk, fruit;;;1820;Yogurt, regular;1;1 4 oz container;113
11431000;Yogurt, whole milk, fruit;;;1820;Yogurt, regular;2;1 6 oz container;170
11431000;Yogurt, whole milk, fruit;;;1820;Yogurt, regular;3;1 container, NFS;170
11431000;Yogurt, whole milk, fruit;;;1820;Yogurt, regular;4;1 cup;245
11431000;Yogurt, whole milk, fruit;;;1820;Yogurt, regular;8;Quantity not specified;170
11432000;Yogurt, low fat milk, fruit;;;1820;Yogurt, regular;1;1 tube;64
11432000;Yogurt, low fat milk, fruit;;;1820;Yogurt, regular;2;1 4 oz container;113
11432000;Yogurt, low fat milk, fruit;;;1820;Yogurt, regular;3;1 6 oz container;170
11432000;Yogurt, low fat milk, fruit;;;1820;Yogurt, regular;4;1 container, NFS;170
11432000;Yogurt, low fat milk, fruit;;;1820;Yogurt, regular;5;1 cup;245
11432000;Yogurt, low fat milk, fruit;;;1820;Yogurt, regular;12;Quantity not specified;170
11433000;Yogurt, nonfat milk, fruit;;;1820;Yogurt, regular;1;1 4 oz container;113
11433000;Yogurt, nonfat milk, fruit;;;1820;Yogurt, regular;2;1 6 oz container;170
11433000;Yogurt, nonfat milk, fruit;;;1820;Yogurt, regular;3;1 container, NFS;170
11433000;Yogurt, nonfat milk, fruit;;;1820;Yogurt, regular;4;1 cup;245
11433000;Yogurt, nonfat milk, fruit;;;1820;Yogurt, regular;8;Quantity not specified;170
11433990;Yogurt, Greek, NS as to type of milk, fruit;;;1822;Yogurt, Greek;1;1 5.3 oz container;150
11433990;Yogurt, Greek, NS as to type of milk, fruit;;;1822;Yogurt, Greek;2;1 6 oz container;170
11433990;Yogurt, Greek, NS as to type of milk, fruit;;;1822;Yogurt, Greek;3;1 container, NFS;150
11433990;Yogurt, Greek, NS as to type of milk, fruit;;;1822;Yogurt, Greek;4;1 cup;245
11433990;Yogurt, Greek, NS as to type of milk, fruit;;;1822;Yogurt, Greek;5;Quantity not specified;150
11434000;Yogurt, Greek, whole milk, fruit;;;1822;Yogurt, Greek;1;1 5.3 oz container;150
11434000;Yogurt, Greek, whole milk, fruit;;;1822;Yogurt, Greek;2;1 6 oz container;170
11434000;Yogurt, Greek, whole milk, fruit;;;1822;Yogurt, Greek;3;1 container, NFS;150
11434000;Yogurt, Greek, whole milk, fruit;;;1822;Yogurt, Greek;4;1 cup;245
11434000;Yogurt, Greek, whole milk, fruit;;;1822;Yogurt, Greek;6;Quantity not specified;150
11434010;Yogurt, Greek, low fat milk, fruit;;;1822;Yogurt, Greek;1;1 tube;57
